Symbol,Count
NAC/GCARSO A1,20480
NAC/CULTIBA B,93
NAC/GBM O,32
NAC/VASCONI ~,68
NAC/BIMBO A,64972
NAC/BEVIDES B,12
NAC/GISSA A,589
NAC/PE&OLES ~,44615
NAC/FEMSA UB,34
NAC/ALSEA ~,74918
NAC/ASUR B,83703
NAC/GMEXICO B,111783
NAC/AMX B,85514
NAC/VITRO A,66
NAC/AC ~,53887
NAC/GPROFUT ~,11
NAC/NAFTRAC ISHRS,41788
NAC/GFNORTE O,160789
SIC/DEO N,7
NAC/GFINBUR O,41479
SIC/GSK N,8
NAC/FIHO 12,532
NAC/FIBRAMQ 12,39017
SIC/UL N,1
SIC/VOD N,2571
NAC/FINN 13,228
NAC/TERRA 13,22344
NAC/TLEVISA CPO,35286
SIC/PFE ~,12489
NAC/BBVA ~,372
SIC/VZ ~,16
NAC/PASA B,2
NAC/AXTEL CPO,438
NAC/ALFA A,91368
SIC/AAPL ~,29924
SIC/AMAT ~,8027
NAC/ORBIA ~,111808
NAC/GAP B,113688
SIC/CSCO ~,7778
NAC/HCITY ~,776
NAC/FSHOP 13,344
NAC/VOLAR A,39159
SIC/QCOM ~,8639
SIC/SBUX ~,29809
NAC/DANHOS 13,11344
SIC/QQQ ~,113056
SIC/AMZN ~,58151
NAC/KIMBER A,73426
SIC/IVV ~,45956
NAC/FIBRAPL 14,76571
NAC/VALUEGF O,123
NAC/PINFRA L,128
SIC/IJR ~,10
NAC/HOTEL ~,663
SIC/SHY ~,214876
NAC/FIBRATC 14,7227
NAC/IVVPESO ISHRS,70478
SIC/TLT ~,10507
SIC/BAC ~,9836
NAC/AGUA ~,7604
NAC/FMTY 14,16235
SIC/BMY ~,7892
SIC/CVX ~,9440
SIC/FDX ~,5486
SIC/F ~,5876
NAC/ICH B,51657
SIC/GOOGL ~,31817
NAC/GICSA B,29
NAC/NEMAK A,16868
SIC/MU ~,21878
SIC/MS ~,8459
SIC/PEP ~,7624
NAC/LAMOSA ~,24
SIC/SLB N,10008
SIC/SONY N,3270
SIC/SNY N,4
SIC/TSM N,17229
SIC/USB ~,3
SIC/WFC ~,10951
NAC/CADU A,43
SIC/TGT ~,6979
NAC/LACOMER UBC,60883
SIC/COST ~,6453
NAC/ANB ~,2
NAC/FPLUS 16,215
NAC/OMA B,81682
NAC/CUERVO ~,22726
NAC/BBAJIO O,84882
SIC/CL ~,5
NAC/VISTA A,200
NAC/TRAXION A,65808
NAC/GMXT ~,6335
SIC/IAU ~,18342
SIC/EEM ~,6932
SIC/EWJ ~,9141
SIC/EZU ~,3668
NAC/FCFE 18,1591
SIC/EWU ~,18
NAC/TMM A,50
NAC/EDUCA 18,34
NAC/STORAGE 18,32
NAC/DINE A,4
NAC/DINE B,5
SIC/BIIB ~,10
SIC/VTI ~,7440
SIC/LMT ~,2483
NAC/KOF UBL,77422
NAC/FEMSA UBD,97316
NAC/FINDEP ~,4
NAC/MEGA CPO,39188
NAC/VMEX 19,9190
NAC/ARISTOS A,1
SIC/BAYN N,2
NAC/AUTLAN B,72
SIC/NESN N,8
NAC/COXA ~,23
SIC/TSLA ~,93694
SIC/NKE ~,28147
SIC/GOOG ~,13359
SIC/UPS ~,2939
NAC/GAV A,2
SIC/DLTR ~,2175
SIC/DVYE ~,2
SIC/REM ~,2
NAC/FHIPO 14,120
SIC/WHR ~,44
SIC/CMG ~,9243
NAC/FEXI 21,1232
NAC/DLRTRAC 15,30127
SIC/SLV ~,22148
SIC/NCLH N,25190
SIC/HAL ~,7
SIC/BHC N,1
SIC/MC N,16
SIC/VLUE ~,2
NAC/SITES1 A-1,25384
SIC/SCHW ~,7347
SIC/DVN ~,5226
SIC/DXJ ~,2
SIC/NVO N,8625
SIC/BABA N,60378
SIC/UBS N,3706
SIC/JD N,22198
SIC/MDT N,1
SIC/VXUS ~,12
SIC/VIOO ~,1
SIC/RSP ~,4369
SIC/PPG ~,1
SIC/HEZU ~,1
SIC/TAN ~,11
NAC/LASITE B-1,1706
SIC/LQDE N,2
SIC/CRM ~,31370
SIC/KHC ~,7
SIC/PYPL ~,9387
NAC/FMX 23,113
SIC/ADSK ~,2655
SIC/GLD ~,8589
SIC/CAR ~,1
SIC/CSPX N,50337
SIC/VOW3 N,12
NAC/CTAXTEL A,606
SIC/ADBE ~,6355
SIC/STZ ~,3116
SIC/PBR N,6947
SIC/VALE N,3215
NAC/CMOCTEZ ~,37
SIC/PRU ~,1
SIC/X ~,9677
NAC/LIVEPOL 1,31
SIC/SPY ~,64620
SIC/XLE ~,9165
SIC/XLF ~,10376
SIC/TWLO ~,4933
SIC/XLY ~,23731
SIC/FIS ~,4
NAC/AGUILAS CPO,4017
SIC/XLV ~,8003
SIC/MCO ~,53
SIC/CHTR ~,2
SIC/CBU7 N,35164
SIC/IUIT N,359
SIC/FCX ~,4573
SIC/GSLC ~,1
NAC/FNOVA 17,1000
SIC/IHYG N,2
SIC/CNDX N,182
SIC/TECL ~,52657
SIC/YANG ~,8078
SIC/JNUG ~,23100
SIC/YINN ~,146233
SIC/TNA ~,9254
SIC/GUSH ~,18246
SIC/DRIP ~,8047
SIC/JDST ~,35574
SIC/SPXS ~,11459
SIC/ERX ~,4
SIC/ALB ~,11440
SIC/AVGO ~,42441
SIC/KKRC ~,1
SIC/SYY ~,2
SIC/AAL ~,13989
SIC/EA ~,3
NAC/LIVEPOL C-1,30456
NAC/FRES ~,13
NAC/BOLSA A,34342
NAC/PINFRA ~,57877
NAC/LAB B,64750
SIC/COP ~,5
NAC/KUO B,19
NAC/GNP ~,7
NAC/GCC ~,41473
SIC/TAL N,10903
SIC/GLW ~,4
NAC/GMD ~,7
NAC/MEXTRAC 09,30069
NAC/GRUMA B,107633
NAC/MEDICA B,222
NAC/WALMEX ~,92158
SIC/DGTL N,161
NAC/CHDRAUI B,65422
SIC/SOXX ~,6253
NAC/TEAK CPO,109
NAC/PROCORP B,1
NAC/SPORT S,54
SIC/IWVL N,2
NAC/ANGELD 10,274
NAC/CIE B,15
NAC/CYDSASA A,435
NAC/GENTERA ~,93715
NAC/ARA ~,591
NAC/MFRISCO A-1,129
SIC/NEM ~,3569
NAC/MINSA B,14
NAC/CMR B,839
NAC/HERDEZ ~,523
NAC/FUNO 11,110024
NAC/FRAGUA B,6834
NAC/R A,58166
NAC/CERAMIC B,2
NAC/ALPEK A,25942
NAC/Q ~,63597
NAC/VESTA ~,122765
NAC/SORIANA B,79
NAC/CEMEX CPO,65394
SIC/LNG ~,52
SIC/ULTA ~,2445
SIC/SHOP N,10198
SIC/ATHM N,1
SIC/HUM ~,2613
SIC/DFS ~,1
SIC/AAP ~,5
SIC/LUMN ~,5
SIC/DE ~,3323
SIC/VUG ~,9144
SIC/VTV ~,3516
SIC/KWEB ~,15013
SIC/SOXL ~,184592
SIC/SOXS ~,24669
SIC/VOE ~,3
SIC/LIT ~,6513
SIC/VB ~,3063
SIC/GIS ~,3678
SIC/VBR ~,2
SIC/VGK ~,6410
SIC/VWO ~,5747
SIC/TEP N,1
SIC/AMD ~,109461
SIC/DAL ~,14555
SIC/TX ~,12119
SIC/SQ ~,12167
SIC/LULU ~,7583
SIC/UAL ~,12093
SIC/GME ~,17553
SIC/URA ~,8
SIC/DELLC ~,11411
SIC/CCL N,6
SIC/AWR ~,1
SIC/MRNA ~,13525
SIC/NDAQ ~,8
SIC/CCL1 N,16042
SIC/HBAN ~,16
SIC/AZO ~,7825
SIC/IB01 N,34881
SIC/CPB ~,1
SIC/K ~,3
SIC/SWK ~,3
SIC/DAVA N,15
SIC/DBX ~,10
SIC/HAS ~,1
SIC/BBUS ~,4
SIC/EPAM ~,4
SIC/BCRX ~,1
SIC/WDAY ~,1
SIC/C ~,10443
SIC/ZBRA ~,3491
SIC/BYND ~,52
SIC/UBER ~,10816
SIC/OXY1 ~,10010
SIC/IB1MXX N,22701
SIC/LEVI ~,8
SIC/VUAA N,40932
SIC/VWRA N,37299
SIC/ZS ~,7293
SIC/OKTA ~,7
SIC/PANW ~,7238
SIC/TREE ~,2
SIC/GNOM ~,4
SIC/NIO N,48049
SIC/ODFL ~,2
SIC/SWKS ~,1
SIC/VCR ~,6269
SIC/VEA ~,5680
SIC/CLX ~,3
SIC/HERO ~,14
SIC/GXTG ~,1
SIC/CRWD ~,8775
SIC/ZM ~,8652
SIC/MBIL N,22751
SIC/ZTO N,1
SIC/AMC ~,11669
SIC/ETSY ~,11801
SIC/GPN ~,3577
SIC/BRKB ~,8462
SIC/BNTX N,3754
SIC/GRMN N,2
SIC/SPLG ~,2596
SIC/NKLA ~,29574
SIC/ROKU ~,25997
SIC/NVAX ~,28453
SIC/CRSP N,3
SIC/PDD N,18148
SIC/GLOB N,1
SIC/O ~,8911
SIC/FL ~,3
SIC/MELI N,8344
SIC/CHWY ~,6001
SIC/STYC N,1
SIC/GSX N,1
SIC/VTRS ~,9
SIC/LIA N,25964
SIC/XPEV N,39666
SIC/SNOW ~,9656
SIC/QS ~,7662
SIC/PLUG ~,5275
SIC/VST ~,131
SIC/941 N,2
SIC/MSTR ~,21514
SIC/ACLS ~,3
SIC/MARA ~,34272
SIC/RIOT ~,33749
SIC/DTCR ~,3
SIC/DAO N,1
SIC/API N,1
SIC/VXRT ~,2
SIC/BTBT N,60
SIC/ATER ~,1329
SIC/ABNB ~,8907
SIC/LOGC ~,11
SIC/HMY N,1
SIC/SAM ~,3
SIC/DLR ~,1
SIC/SQQQ ~,18340
SIC/TQQQ ~,64256
SIC/LCID ~,8278
SIC/SPT ~,1
SIC/VSCO ~,1
SIC/NOVOB N,3
SIC/SOFI ~,20579
SIC/CLSK ~,53340
SIC/PLTR ~,30979
SIC/BIDU N,13717
SIC/NU N,7794
SIC/RBLX ~,8
SIC/RIVN ~,23331
SIC/WBD ~,26713
SIC/DKNG1 ~,10964
SIC/ANAU N,42919
SIC/SKX ~,1
SIC/SMCI ~,58686
SIC/ICOP ~,1
SIC/ARM N,9561
SIC/CQQQ ~,4
SIC/SPYL N,299
SIC/CELH ~,221
SIC/GEV ~,3296
SIC/GRAL ~,2
SIC/TJX ~,2
SIC/V ~,8480
SIC/CVS ~,9062
SIC/UAA ~,10
SIC/ACWI ~,7606
SIC/IBTS N,2
SIC/GDX ~,7668
SIC/RCL ~,6257
SIC/ITOT ~,3785
SIC/LVS ~,9601
SIC/MGM ~,5103
SIC/WYNN ~,10084
SIC/VNQ ~,6633
SIC/DDM ~,16767
SIC/AAXJ ~,43045
SIC/SHV ~,76639
SIC/BIL ~,16680
SIC/VT ~,7426
SIC/VYM ~,24
SIC/MBB ~,1
SIC/VIG ~,3957
SIC/ELV ~,8
SIC/IYT ~,1
SIC/PSQ ~,9221
SIC/FAS ~,14139
SIC/EDC ~,36731
SIC/EDZ ~,18881
SIC/WBA ~,8079
SIC/ICLN ~,7811
SIC/IXC ~,2
SIC/GM ~,9635
SIC/SIL ~,3887
SIC/COF ~,1
SIC/NVDA ~,207935
SIC/PGX ~,1
SIC/GOLD N,7207
SIC/UNP ~,2330
SIC/MCHI ~,16655
SIC/VOO ~,14602
SIC/AGNC ~,19
SIC/IGOV ~,1
SIC/NFLX ~,8404
SIC/ACWV ~,1
SIC/SMSN N,6
SIC/META ~,33263
SIC/UNH ~,7289
SIC/PVH ~,1
NAC/GIGANTE ~,19
SIC/MSFT ~,11910
SIC/ANTA N,8
SIC/SYF ~,2
SIC/POST ~,3
SIC/M ~,11256
SIC/EIMI N,160
SIC/INTC ~,13000
NAC/BAFAR B,29
NAC/FIBRAHD 15,76
NAC/ACTINVR B,486
SIC/EMN ~,1
SIC/TECS ~,6329
NAC/HOMEX ~,43
SIC/ARCO N,5
SIC/GPRO ~,1
SIC/BY ~,1
NAC/DIABLOI 10,69
SIC/BBDB N,6
NAC/GENIUS 21,3137
SIC/HPQ ~,4282
SIC/KD ~,22
SIC/SEDG N,3
SIC/CHIQ ~,4
SIC/AXP ~,7211
SIC/MOAT ~,9
SIC/KO ~,23911
SIC/0R87 N,1
SIC/HMC N,3
SIC/TCEHY N,62
SIC/BLUE ~,4
SIC/PLD ~,636
SIC/1810 N,110
SIC/CIG N,1
NAC/JAVER ~,11
NAC/CHNTRAC 11,14
NAC/SMARTRC 14,2
SIC/ABEV N,6129
NAC/CABLE CPO,6
SIC/LAZR ~,3
SIC/EWW ~,7513
SIC/LUV ~,9827
SIC/FUBO ~,6060
SIC/SAN N,25
SIC/ADI ~,2
SIC/SMH ~,13599
SIC/RIO N,9
NAC/URBI ~,2
SIC/FLCH ~,1
SIC/BB N,6998
SIC/PUM N,3
SIC/NEE ~,421
SIC/ATOS ~,29
NAC/ALTERNA B,21
SIC/JMIA N,18
SIC/DGRO ~,5
SIC/1211 N,33
SIC/FCEL ~,38
SIC/BOTZ ~,9707
SIC/OCGN ~,3425
SIC/ICF ~,1
SIC/IBM ~,6547
SIC/PBRA N,2
NAC/FIDEAL 20,1
NAC/FSITES 20,1
NAC/INFRAEX 18,1
NAC/FVIA 16,12
NAC/VINTE ~,26
SIC/IBB ~,3569
SIC/BUG ~,7
SIC/PPLT ~,10
SIC/COIN ~,14468
SIC/ITA ~,11
SIC/EWS ~,19
SIC/IWM ~,11335
SIC/JPM ~,21801
SIC/BKCH ~,17703
SIC/ASML N,19
SIC/3988 N,7
SIC/VOOG ~,16
SIC/DHYA N,3
SIC/US7 N,1
SIC/WB N,1
SIC/IYH ~,7279
SIC/XSD ~,1
SIC/175 N,1
SIC/SPCE ~,19319
SIC/NOMD N,4
SIC/VWS N,2
SIC/T ~,5295
SIC/XLRE ~,4222
SIC/GT ~,6
NAC/POSADAS A,2
SIC/ENOR ~,4
SIC/BBJP ~,1
SIC/EIRL ~,2
SIC/NTDOY N,1
SIC/MNST ~,9772
SIC/FWRA N,4
SIC/EMB ~,2
NAC/CIDMEGA ~,4
SIC/BA ~,9737
SIC/TM N,2884
SIC/ENPH ~,9346
SIC/INDA ~,2841
SIC/VISC N,1
SIC/REPS N,1
SIC/APPS N,1
SIC/AMS N,1
SIC/VECA N,1
SIC/TZA ~,3467
SIC/EOG ~,251
NAC/FIBRAUP 18,3
SIC/DIS ~,11173
SIC/V3AA N,2
SIC/BRZU ~,7488
SIC/MEXX ~,24
SIC/XBAS N,1
SIC/ON ~,1
SIC/XLI ~,4290
SIC/XLB ~,7077
SIC/XLC ~,25587
SIC/CIBR ~,4
SIC/HON ~,3469
SIC/RBOT N,248
SIC/PSI ~,1
SIC/AIR N,2
SIC/VNQI ~,5
SIC/CMCSA ~,21
SIC/QCLN ~,4448
SIC/RVLV ~,3
SIC/MASI ~,1
SIC/SPYG ~,32
SIC/EWN ~,12
SIC/SIXG ~,2
SIC/IVW ~,3
SIC/IYW ~,10721
SIC/SKLZ ~,3
SIC/EWC ~,43
NAC/SIMEC B,26844
NAC/IDEAL B-1,4
SIC/ORCL ~,7847
SIC/IBTA N,94895
SIC/IHYA N,40852
SIC/GEN ~,1
SIC/JKS N,1
SIC/WMT ~,6634
SIC/LQDA N,46993
NAC/CONVER A,5
SIC/IUSZ N,1
SIC/ECAR N,236
SIC/ALLY1 ~,2
SIC/DUK ~,1
NAC/PSOTRAC 15,11717
SIC/MMM ~,6638
SIC/EBAY ~,6682
SIC/TBBB N,11
SIC/BRBR ~,1
SIC/ALO N,2
SIC/SPXL ~,25995
NAC/SRE ~,7870
SIC/GILD ~,3
SIC/BTEC1 N,186
SIC/PHR N,1
SIC/UPWK ~,3
SIC/MPW ~,5
SIC/CRTO N,1
SIC/FNV N,1
SIC/VPL ~,6
SIC/PII ~,1
SIC/EWT ~,20
SIC/GE ~,6865
SIC/CSPXX N,22303
SIC/FTNT ~,8949
SIC/TIP ~,6
SIC/SNAP ~,18375
SIC/PATH ~,6912
SIC/EQIX ~,1
SIC/WAB ~,2
